time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
5/8/2016,2090,39490.33,0,0,897.5,972.5,877.5,0,0,0,0,0,0,1,1480,705,807.5,542.5,1192.5,625,717.5,29655.65,30189.88,22426.35,19828.88,20661.85,26228.5,25676.33,0,0,0,0,0,0,0,1425,1270.63,1125,1136.25,1020,26571.98,33111.95,30440.55,28318.22,27042.16,26769.72,26571.98,0,0,0,0,0,0
5/9/2016,1982.5,62877.05,0,0,977.5,897.5,972.5,1,0,0,0,0,0,0,2090,1480,705,807.5,542.5,1192.5,625,39490.33,29655.65,30189.88,22426.35,19828.88,20661.85,26228.5,0,0,0,0,0,0,0,1850.83,1564.38,1413,1267.92,1178.13,30506.13,44007.68,40553.23,36927.85,34078.02,31419.81,30506.13,0,0,0,0,0,0
5/10/2016,1397.5,67181.3,0,0,670,977.5,897.5,0,1,0,0,0,0,0,1982.5,2090,1480,705,807.5,542.5,1192.5,62877.05,39490.33,29655.65,30189.88,22426.35,19828.88,20661.85,0,0,0,0,0,0,0,1823.33,1737.5,1531,1410.42,1274.69,34421.61,56516.23,49801.08,45878.84,41970.09,36538.91,34421.61,0,0,0,0,0,0
5/11/2016,1412.5,2653.8,0,0,362.5,670,977.5,0,0,1,0,0,0,0,1397.5,1982.5,2090,1480,705,807.5,542.5,67181.3,62877.05,39490.33,29655.65,30189.88,22426.35,19828.88,0,0,0,0,0,0,0,1597.5,1720.63,1672.5,1511.25,1302.19,32119.36,44237.38,43050.62,40371.63,38674.67,34287.91,32119.36,0,0,0,0,0,0
5/12/2016,1912.5,13200.85,0,0,787.5,362.5,670,0,0,0,1,0,0,0,1412.5,1397.5,1982.5,2090,1480,705,807.5,2653.8,67181.3,62877.05,39490.33,29655.65,30189.88,22426.35,0,0,0,0,0,0,0,1574.17,1676.25,1759,1712.5,1473.44,30816.59,27678.65,36478.25,37080.67,35843.16,33459.4,30816.59,0,0,0,0,0,0
5/13/2016,1890,25025.43,0,0,830,787.5,362.5,0,0,0,0,1,0,0,1912.5,1412.5,1397.5,1982.5,2090,1480,705,13200.85,2653.8,67181.3,62877.05,39490.33,29655.65,30189.88,0,0,0,0,0,0,0,1738.33,1653.13,1719,1780.83,1608.75,31252.95,13626.69,27015.35,34187.69,35071.46,33784.29,31252.95,0,0,0,0,0,0
5/14/2016,1930,23727.18,0,0,847.5,830,787.5,0,0,0,0,0,1,0,1890,1912.5,1412.5,1397.5,1982.5,2090,1480,25025.43,13200.85,2653.8,67181.3,62877.05,39490.33,29655.65,0,0,0,0,0,0,0,1910.83,1786.25,1708.5,1754.17,1761.88,31642.78,20651.15,16151.82,26357.71,32444.27,32976.45,31642.78,0,0,0,0,0,0
5/15/2016,2465,22272.43,0,0,962.5,847.5,830,0,0,0,0,0,0,1,1930,1890,1912.5,1412.5,1397.5,1982.5,2090,23727.18,25025.43,13200.85,2653.8,67181.3,62877.05,39490.33,0,0,0,0,0,0,0,2095,2049.38,1922,1834.58,1885,31627.39,23675.01,21056.47,17375.94,25676.83,32053.55,31627.39,0,0,0,0,0,0
5/16/2016,2105,17717.13,0,0,785,962.5,847.5,1,0,0,0,0,0,0,2465,1930,1890,1912.5,1412.5,1397.5,1982.5,22272.43,23727.18,25025.43,13200.85,2653.8,67181.3,62877.05,0,0,0,0,0,0,0,2166.67,2097.5,2060.5,1952.5,1886.88,30380.12,21238.91,22185.54,20388.6,17432.8,29331.9,30380.12,0,0,0,0,0,0
5/17/2016,1092.5,11605.98,0,0,470,785,962.5,0,1,0,0,0,0,0,2105,2465,1930,1890,1912.5,1412.5,1397.5,17717.13,22272.43,23727.18,25025.43,13200.85,2653.8,67181.3,0,0,0,0,0,0,0,1887.5,1898.13,1896.5,1899.17,1775.63,28575.15,17198.51,18830.68,20069.63,18924.83,22923.01,28575.15,0,0,0,0,0,0
